State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Maharashtra, Thane,2007,0,0,0,0,0,512.5,723.7,957.4,401,0,0.1,0,2594.7
Maharashtra, Thane,2008,0,0,0,0,0,528,925.1,846.5,443.9,37.7,0.1,0.1,2781.4
Maharashtra, Thane,2009,0,0,0,0,0,131.1,1290.5,176.2,203.2,189.2,62.9,0,2053.1
Maharashtra, Thane,2010,0,0,1.4,0,0,380.4,1007.2,851.1,426.1,94.3,80.2,0,2840.7
Maharashtra, Wardha,2004,66,0,0,0,20,178,235.7,236.2,90.5,15.6,16.7,0,858.7
Maharashtra, Wardha,2005,88.7,8.7,26,11.9,1.6,182.1,323.5,214.5,228.4,85,0,3.9,1174.3
Maharashtra, Wardha,2006,0,0,80.6,27.2,52.4,108.3,357.8,302.1,115.3,36,17.3,0,1097.0
Maharashtra, Wardha,2007,0,2.2,7.8,6.6,6.6,336,413.3,272.6,257.9,0.7,11,0,1314.7
Maharashtra, Wardha,2008,0,0,28.5,2.5,2.8,80,322.9,194.6,167.1,20.2,0,0,818.6
Maharashtra, Wardha,2009,0,0,0,3.8,19,78.1,290.8,162.8,87.1,23.7,70.5,3.6,739.4
Maharashtra, Wardha,2010,11.2,7.3,19.8,0,0,157.5,427.8,351.1,227.6,49.3,62.3,4.2,1318.1
Maharashtra, Washim,2004,34.1,0,1.8,0,30,100.2,193.2,97.4,85.6,44,37.5,0,623.8
Maharashtra, Washim,2005,46.8,2.5,15.7,18.9,0,75.8,417.6,184.8,183.3,107.4,0,0,1052.8
Maharashtra, Washim,2006,0,0,104.2,0,38.8,107.1,205.8,480.2,185.1,37.1,41.3,0,1199.6
Maharashtra, Washim,2007,0,N.A.,0,7,0,102.9,267.4,212.2,168.6,1,15.1,0,N.A.
Maharashtra, Washim,2008,0,0,9.5,0,0,136.4,161,110.3,209.7,38.1,0,5.2,670.2
Maharashtra, Washim,2009,0,0,5,0,11.6,75.1,171.9,123.6,107.2,31.7,80.2,7.8,614.1
Maharashtra, Washim,2010,19.1,6,31.1,0,5,197,486.4,256.6,99.8,42.2,53.7,1,1197.9
Maharashtra, Yeotmal,2004,36.7,0,0,0,69,139.6,233.1,173.9,73,29.2,35.7,0,790.2
Maharashtra, Yeotmal,2005,81.8,14,18.8,11,13.8,164.8,488.1,257.2,164.8,79.9,0,1.3,1295.5
Maharashtra, Yeotmal,2006,0,0,57.6,14,27.9,112,351.7,403.8,205.3,106.8,10.9,0,1290.0
Maharashtra, Yeotmal,2007,0,0,4.6,1,14.4,122,250.4,176,216.1,5.4,6.2,0,796.1
Maharashtra, Yeotmal,2008,0,0,72.4,7.2,5.2,83.4,178.1,196.5,130.6,31.1,0,0,704.5
Maharashtra, Yeotmal,2009,0,0,1.2,0,10.2,99.4,142.3,128.1,108.3,10,70.1,0.4,570
Maharashtra, Yeotmal,2010,25.3,15,10.3,0,0,120.7,391.8,367.4,132.5,57.5,81.2,0,1201.7
